name:ID,aircraft,:LABEL
337,P-38“闪电”,P-38“闪电”
338,B-34/37和PV“文图拉”/“捕鲸叉” ,B-34/37和PV“文图拉”/“捕鲸叉” 
339,P-51B/C“野马”,P-51B/C“野马”
340,UC-61“百眼巨人”,UC-61“百眼巨人”
341,F6F“泼妇”,F6F“泼妇”
342,B-25/PBJ“米切尔”,B-25/PBJ“米切尔”
343,C-22,C-22
344,O2U“海盗”,O2U“海盗”
345,UC-81/AT-19“信赖”,UC-81/AT-19“信赖”
346,B/KB-50“超级堡垒”,B/KB-50“超级堡垒”
347,U-17“空中马车”,U-17“空中马车”
348,A-28／29／AT-18和PBO“郝德逊”海上巡逻轰炸机,A-28／29／AT-18和PBO“郝德逊”海上巡逻轰炸机
349,TBF/TBM“复仇者”,TBF/TBM“复仇者”
350,OA-14/J4F“野鸭”,OA-14/J4F“野鸭”
351,F4F/FM“野猫”战斗机,F4F/FM“野猫”战斗机
352,P-47“雷电”战斗机,P-47“雷电”战斗机
353,F7F“虎猫”战斗机,F7F“虎猫”战斗机
354,B-58“盗贼”,B-58“盗贼”
355,BT-13/15和SNV-1/2“勇士”,BT-13/15和SNV-1/2“勇士”
356,E-4/VC-25	,E-4/VC-25	
357,O-49/L-1“警戒”观察机,O-49/L-1“警戒”观察机
358,B-36“和平卫士”	,B-36“和平卫士”	
359,R3Y“信风”,R3Y“信风”
360,C-17“环球霸王Ⅲ”,C-17“环球霸王Ⅲ”
361,C/EC/KC-135,C/EC/KC-135
362,T-47/UC-35“奖状”	,T-47/UC-35“奖状”	
363,T-41“梅斯卡勒罗人”,T-41“梅斯卡勒罗人”
364,AD/A-1“空中袭击者”,AD/A-1“空中袭击者”
365,L-13,L-13
366,T-29/R4Y/C-131	,T-29/R4Y/C-131	
367,L-27/U-3	,L-27/U-3	
368,F4U/FG-1“海盗”,F4U/FG-1“海盗”
369,O-2“超级空中霸主”	,O-2“超级空中霸主”	
370,F-106“三角标枪”截击机,F-106“三角标枪”截击机
371,F-102“三角剑”截击战斗机,F-102“三角剑”截击战斗机
372,O-57/L-2“蚱蜢”,O-57/L-2“蚱蜢”
373,L-19/O-1“飞狗”,L-19/O-1“飞狗”
374,PT-19/23/26“康奈尔”,PT-19/23/26“康奈尔”
375,P-35A,P-35A
376,UC-70和GH/NH“夜莺”,UC-70和GH/NH“夜莺”
377,B-66“破坏者”,B-66“破坏者”
378,A-31/35“复仇者”,A-31/35“复仇者”
379,A4D和A/TA-4“天鹰”,A4D和A/TA-4“天鹰”
380,T-37“鸣叫”和A/QA-37“龙蝇” ,T-37“鸣叫”和A/QA-37“龙蝇” 
381,T/CT-43和T-40“快船”,T/CT-43和T-40“快船”
382,NA-50/-68和P-64,NA-50/-68和P-64
383,JRS-1/OA-8通用运输机,JRS-1/OA-8通用运输机
384,格鲁曼FF/SF,格鲁曼FF/SF
385,BT-9/14和NJ-1,BT-9/14和NJ-1
386,MB-2/NBS-1	,MB-2/NBS-1	
387,PS/RA/C-6,PS/RA/C-6
388,朗宁OA/OL	,朗宁OA/OL	
389,海军飞机制造厂N3N ,海军飞机制造厂N3N 
390,福特JR/RR/C系列,福特JR/RR/C系列
391,PT-16/20/21/22和NR-1“补充兵”,PT-16/20/21/22和NR-1“补充兵”
392,B-23“龙”,B-23“龙”
393,B-10/12/14	,B-10/12/14	
394,A-17/A-33,A-17/A-33
395,O-47,O-47
396,JRF“鹅式”,JRF“鹅式”
397,NP,NP
398,马丁BM,马丁BM
399,米-14“烟雾”反潜直升机,米-14“烟雾”反潜直升机
400,苏-24“击剑手”战斗轰炸机,苏-24“击剑手”战斗轰炸机
401,道格拉斯R-3D,道格拉斯R-3D
402,AT-12“卫兵”,AT-12“卫兵”
403,大湖BG-1,大湖BG-1
404,霍尔PH,霍尔PH
405,诺思罗普BT,诺思罗普BT
406,L-4“蚱蜢”	观察机,L-4“蚱蜢”	观察机
